Verb,count
have,78
show,74
use,72
treat,55
associate,44
base,40
remain,39
undergo,36
identify,35
include,31
develop,30
characterize,29
suggest,27
compare,25
exhibit,24
contain,24
provide,22
study,19
know,17
correlate,17
represent,16
analyze,16
report,16
target,15
express,15
arise,14
diagnose,14
increase,14
assess,14
involve,14
reveal,14
grade,14
define,14
determine,14
occur,14
predict,13
result,13
improve,13
perform,13
induce,13
investigate,12
derive,12
classify,12
receive,12
evaluate,11
confirm,11
evolve,11
progress,11
display,11
demonstrate,10
relate,10
detect,10
find,9
affect,9
examine,8
follow,8
appear,8
share,8
consider,8
locate,7
establish,7
present,7
require,7
promote,7
lack,7
enhance,6
obtain,6
recur,6
enrol,6
differ,6
originate,6
observe,6
analyse,6
accord,6
review,6
indicate,6
contribute,6
lead,5
exist,5
depend,5
describe,5
support,5
grow,5
infiltrate,5
see,5
expect,5
propose,5
discuss,5
collect,5
inhibit,5
account,5
activate,5
give,4
operate,4
seem,4
carry,4
make,4
produce,4
test,4
mean,4
tend,4
select,4
help,4
invade,4
drive,4
emerge,4
offer,4
facilitate,4
start,4
subject,4
constitute,4
respond,4
stain,4
emphasize,4
match,4
cause,4
regulate,4
consist,4
guide,4
challenge,4
metastasize,3
distribute,3
survive,3
mimic,3
overexpresse,3
exclude,3
allow,3
initiate,3
limit,3
explain,3
spread,3
serve,3
comprise,3
transplant,3
understand,3
form,3
vary,3
suppress,3
screen,3
distinguish,3
divide,3
remove,3
take,3
enter,3
continue,3
acquire,3
validate,3
measure,3
harbor,3
aim,3
mediate,3
age,3
focus,3
accompany,3
stratify,3
compose,3
underlie,3
apply,3
range,3
estimate,3
recognize,3
attenuate,2
alter,2
reflect,2
degrade,2
rule,2
choose,2
recruit,2
verify,2
complete,2
subdivide,2
amplify,2
need,2
randomize,2
alkylate,2
lose,2
attribute,2
methylate,2
predominate,2
influence,2
discover,2
proliferate,2
signal,2
resect,2
correspond,2
regard,2
reproduce,2
corroborate,2
misclassifie,2
inject,2
occupy,2
temozolomide,2
transfecte,2
be,2
do,2
localize,2
decrease,2
become,2
surround,2
expose,2
chemotherapy,2
unveil,2
cut,2
achieve,2
summarize,2
stimulate,2
document,2
exploit,2
augment,2
employ,2
play,2
underline,2
conduct,2
retrieve,2
combine,2
set,2
hijack,2
overcome,2
benefit,2
incorporate,2
restrict,2
add,2
recapitulate,2
bear,2
cure,2
model,1
communicate,1
aa,1
stemness,1
marginate,1
-,1
fold,1
monosomy,1
multivariate,1
leave,1
transdifferentiate,1
immunostaine,1
hypothesize,1
interrogate,1
confer,1
repress,1
condition,1
owe,1
kindre,1
die,1
yield,1
adjust,1
homicide,1
plan,1
extend,1
monitor,1
modify,1
educate,1
inhabit,1
trigger,1
neutralize,1
reside,1
design,1
organize,1
belong,1
preserve,1
favor,1
dictate,1
exert,1
act,1
repopulate,1
possess,1
delay,1
tmz,1
line,1
manage,1
prolong,1
direct,1
sgbm,1
deplete,1
secure,1
refine,1
sort,1
reduce,1
brain,1
evidence,1
exacerbate,1
assay,1
feature,1
unresectable,1
change,1
truncate,1
novel,1
enable,1
lysate,1
implement,1
attract,1
rnai)-mediate,1
accept,1
radiotherapy,1
image,1
generate,1
reverse,1
dehydrogenase,1
secrete,1
store,1
release,1
survival,1
pursue,1
incline,1
undescribe,1
inform,1
accumulate,1
invasiveness,1
xenografte,1
debulke,1
prevail,1
suspect,1
preprocesse,1
meningioma,1
unstaine,1
refer,1
sphere,1
build,1
undiagnose,1
recommend,1
let,1
integrate,1
explore,1
enforce,1
alleviate,1
noncode,1
attain,1
shed,1
discriminate,1
mismatch,1
multimodal,1
implicate,1
categorize,1
underscore,1
pseudopalisade,1
hypermutate,1
raise,1
sample,1
fractionate,1
mutate,1
debate,1
pretreate,1
learn,1
rear,1
ensure,1
name,1
think,1
deploy,1
rank,1
ask,1
encompass,1
ionize,1
come,1
impact,1
call,1
visualize,1
utilize,1
lie,1
bgbms)-are,1
advance,1
begin,1
highlight,1
cement,1
radio-,1
gap,1
throughput,1
sponsor,1
endow,1
vascularize,1
behave,1
convert,1
etoposide,1
fas,1
cluster,1
complement,1
infect,1
carcinoma,1
mount,1
repeat,1
introduce,1
normalize,1
maintain,1
extract,1
prove,1
qualitative,1
preclude,1
slow,1
manifest,1
adopt,1
mark,1
calculate,1
microdissecte,1
strengthen,1
divert,1
isolate,1
astrocytoma,1
internalize,1
attempt,1
suppose,1
transduce,1
segment,1
aid,1
seat,1
hinder,1
misdiagnose,1
uncover,1
traverse,1
matter,1
plo,1
travel,1
inherit,1
specimen,1
live,1
reach,1
deteriorate,1
acute,1
stage,1
re,1
ascribe,1
merge,1
experience,1
inoculate,1
outline,1
afflict,1
get,1
enrich,1
